"decision_id","inspection_id","packet_id","book_id","book_slug","segment_key","segment_order","display_title","inspection_lane","review_reasons","decision_options","required_evidence","review_page_start","review_page_end","current_printed_page","successor_printed_page","review_status","selected_decision","source_pdf_page_reviewed","printed_page_reviewed","visible_prose_presence","successor_anchor_type","locator_type","locator_value","reviewer_confidence","review_completed_at"
"55a707da2697fdbc75ed6026","2348e64b4b3a4029ea2c12ab","container-intro-only-book-1-packet-01","1","o-livro-dos-espiritos","a3d180e5c494585ecaa9a8c9","4","PARTE PRIMEIRA — Das causas primárias","container-intro-only","container-intro-boundary","retain-intro-segment|merge-intro-with-successor|exclude-structural-heading|unresolved","source_pdf_page_reviewed|visible_prose_presence|selected_decision|reviewer_confidence","6","6","","55","pending","","","","","","","","",""
"bd93d0a79af0c6ac89621b9b","951bde717f873c51c4bf35c4","container-intro-only-book-1-packet-01","1","o-livro-dos-espiritos","005ffe831efc9eafe3feefe7","26","PARTE SEGUNDA — Do mundo espírita ou mundo dos Espíritos","container-intro-only","container-intro-boundary","retain-intro-segment|merge-intro-with-successor|exclude-structural-heading|unresolved","source_pdf_page_reviewed|visible_prose_presence|selected_decision|reviewer_confidence","6","6","","85","pending","","","","","","","","",""
"7ed50cfb0fbbb85ff6f4e8cc","16c8a3f3f0b322d244c4f6b8","container-intro-only-book-1-packet-01","1","o-livro-dos-espiritos","d709f621f896bf4419b76509","105","PARTE TERCEIRA — Das leis morais","container-intro-only","container-intro-boundary","retain-intro-segment|merge-intro-with-successor|exclude-structural-heading|unresolved","source_pdf_page_reviewed|visible_prose_presence|selected_decision|reviewer_confidence","8","8","","295","pending","","","","","","","","",""
"7780bb1dfb70480efab07063","98163bcd16227fc4997caf7e","container-intro-only-book-1-packet-01","1","o-livro-dos-espiritos","68d35864698f00302a76550b","180","PARTE QUARTA — Das esperanças e consolações","container-intro-only","container-intro-boundary","retain-intro-segment|merge-intro-with-successor|exclude-structural-heading|unresolved","source_pdf_page_reviewed|visible_prose_presence|selected_decision|reviewer_confidence","9","9","","413","pending","","","","","","","","",""
"db8485152ac6cd56305ce7ad","5ab7ab2f1bf300f100a3c57e","container-intro-only-book-2-packet-01","2","o-livro-dos-mediuns","451877fb2e9043922a604180","3","PRIMEIRA PARTE — Noções preliminares","container-intro-only","container-intro-boundary","retain-intro-segment|merge-intro-with-successor|exclude-structural-heading|unresolved","source_pdf_page_reviewed|visible_prose_presence|selected_decision|reviewer_confidence","6","6","","17","pending","","","","","","","","",""
"2c2dc1ac3460e74a5026421d","60422ae0f1f071d51a942b93","container-intro-only-book-2-packet-01","2","o-livro-dos-mediuns","e3750489416607a8779a506c","15","SEGUNDA PARTE — Das manifestações espíritas","container-intro-only","container-intro-boundary","retain-intro-segment|merge-intro-with-successor|exclude-structural-heading|unresolved","source_pdf_page_reviewed|visible_prose_presence|selected_decision|reviewer_confidence","6","6","","63","pending","","","","","","","","",""
"c2744f1a1e5cd5fb451399d1","5cb2b634d6f527f00c235e84","container-intro-only-book-2-packet-01","2","o-livro-dos-mediuns","7370c0c547b6e99a9f02cfd9","46","Da natureza das comunicações","container-intro-only","container-intro-boundary","retain-intro-segment|merge-intro-with-successor|exclude-structural-heading|unresolved","source_pdf_page_reviewed|visible_prose_presence|selected_decision|reviewer_confidence","7","7","151","","pending","","","","","","","","",""
"9e019d1134860396a3442342","d9e313f2c0d4ce15e5dd9888","container-intro-only-book-2-packet-01","2","o-livro-dos-mediuns","3e2862b193da5ea95fc0acee","70","Da formação dos médiuns","container-intro-only","container-intro-boundary","retain-intro-segment|merge-intro-with-successor|exclude-structural-heading|unresolved","source_pdf_page_reviewed|visible_prose_presence|selected_decision|reviewer_confidence","8","8","207","","pending","","","","","","","","",""
"13fe9e4b4790ba5a9763de50","69e80d17d0314c5007a7d9ac","container-intro-only-book-2-packet-01","2","o-livro-dos-mediuns","45cf2cc25a379e6c068dbcc7","94","Da identidade dos Espíritos","container-intro-only","container-intro-boundary","retain-intro-segment|merge-intro-with-successor|exclude-structural-heading|unresolved","source_pdf_page_reviewed|visible_prose_presence|selected_decision|reviewer_confidence","8","8","273","","pending","","","","","","","","",""
"dc6aa9ca83cc0adce9732111","1173a7cfd3d5fdd13c48cc5f","container-intro-only-book-2-packet-01","2","o-livro-dos-mediuns","0df37af09ff41ce78a93fca0","98","Das evocações","container-intro-only","container-intro-boundary","retain-intro-segment|merge-intro-with-successor|exclude-structural-heading|unresolved","source_pdf_page_reviewed|visible_prose_presence|selected_decision|reviewer_confidence","8","8","291","","pending","","","","","","","","",""
